found_folder,file_name,chainid,chainname,lastupdatedate,lastupdatetime,subchainid,subchainname,storeid,bikoretno,storetype,storename,address,city,zipcode
,,,,,,,,706,4,,ב.הפירות ארמון הנציב,עולי הגרדום 1,,9380101
,,,,,,,,708,2,,עזריאלי אור יהודה,קניון עזריאלי אור יהודה מינוס 1,2400,0000000
,,,,,,,,709,1,,שבט לוי אשדוד,שבט לוי 14 רובע יב,70,
,,,,,,,,710,7,,אלי כהן אשקלון,אלי כהן 43,7100,
,,,,,,,,711,6,,רגר באר שבע,יעקב כהן 12,9000,
,,,,,,,,712,5,,מנחם בגין גבעת שמואל,מנחם בגין 23,681,
,,,,,,,,713,4,,בן גוריון גבעתיים,בן גוריון 182,6300,
,,,,,,,,714,3,,מגדיאל הוד השרון,מגדיאל 57,9700,
,,,,,,,,715,2,,סוקולוב הרצליה,סוקולוב 56,6400,
,,,,,,,,716,1,,הרצל חדרה,הרצל 27,6500,
,,,,,,,,717,0,,הנשיא חדרה,הנשיא 2,,
,,,,,,,,718,9,,שוויצריה סוקולוב,סוקולוב 84,6600,
,,,,,,,,719,8,,רוטשילד כפר סבא,רוטשילד 39,6900,
,,,,,,,,720,4,,הרטום נתניה,הרטום 40,7400,
,,,,,,,,721,3,,שוויצריה ויצמן נתניה,וייצמן 14,,
,,,,,,,,722,2,,חטיבה תשע עפולה,חטיבה תשע 34,7700,
,,,,,,,,723,1,,הארז פרדסיה,הארז 32,171,
,,,,,,,,724,0,,קניון אבנת פתח תקווה,זבוטינסקי 72,7900,
,,,,,,,,725,9,,שטמפפר פתח תקווה,שטמפפר 37,,
,,,,,,,,726,8,,רוטשילד פתח תקווה,רוטשילד 182,,
,,,,,,,,727,7,,קיריון קרית ביאליק,דרך עכו 192,9500,
,,,,,,,,728,6,,שבזי ראש העין,שבזי 12,2640,
,,,,,,,,729,5,,קניון הבאר,קניון הבאר,8300,
,,,,,,,,730,1,,רוטשילד ראשון לציון,רוטשילד 45,,
,,,,,,,,731,0,,ביאליק רמת גן,ביאליק 79,8600,
,,,,,,,,732,9,,אחוזה רעננה,אחוזה 83,8700,
,,,,,,,,733,8,,בן יהודה תל אביב,בן יהודה 23,5000,
,,,,,,,,734,7,,אסתר המלכה תל אביב,אסתר המלכה 4,,
,,,,,,,,735,6,,החשמונאים תל אביב,חשמונאים 100,,
,,,,,,,,736,5,,שוקן תל אביב,שוקן 1,,
,,,,,,,,737,4,,בן יהודה תל אביב,בן יהודה 174,,
